source_file,pose_idx,rmsd,gnina_score,cnn_score,cnn_affinity,pass_threshold
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,15,4.1400,9.44998,0.5880089998,4.1112003326,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,3,4.1427,-6.6399,0.8762377501,5.6851916313,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,18,4.1463,2.17013,0.528229177,4.530482769,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,9,4.1481,-0.66351,0.6564304233,5.4845347404,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,15,4.1482,9.28295,0.5645355582,5.1365513802,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,7,4.1544,-1.24253,0.7956856489,5.2074608803,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,14,4.1548,71.87605,0.5884642601,4.5048766136,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,17,4.1561,4.91765,0.541293025,5.4501795769,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,14,4.1622,-6.44501,0.6401883364,5.6970734596,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,13,4.1692,-5.84274,0.6141485572,5.5195145607,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,18,4.1742,19.18906,0.5497043133,4.5372848511,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,18,4.1778,7.18688,0.5171577334,4.9138221741,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,19,4.1829,58.31039,0.5102760196,4.7869420052,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,11,4.1916,-0.31806,0.6701040864,5.5059928894,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,18,4.1924,-5.25786,0.5461733341,5.4733099937,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,15,4.1933,7.03537,0.5827546716,4.6552462578,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,11,4.1945,16.08156,0.6438783407,5.8828625679,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,17,4.1998,8.3927,0.4855076075,5.4316239357,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,18,4.2119,0.52721,0.4733015299,4.7478165627,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,8,4.2164,6.63965,0.7245206237,5.879152298,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,8,4.2191,7.30715,0.7390269041,5.8059921265,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,13,4.2240,47.41984,0.5689397454,4.3338499069,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,12,4.2248,-5.61737,0.6348316073,5.9302783012,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,10,4.2299,17.29827,0.6873940825,5.4585514069,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,11,4.2309,10.25568,0.658975482,5.7471694946,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,13,4.2321,66.70641,0.644595921,4.9462814331,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,19,4.2330,5.01929,0.5064572096,4.2465624809,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,15,4.2361,18.9685,0.5386888385,5.0783371925,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,17,4.2418,-5.55479,0.553164959,5.5144786835,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,15,4.2421,-5.33534,0.5661718845,5.5235571861,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,19,4.2477,-5.9184,0.5421417356,5.468568325,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,5,4.2662,-4.99885,0.8361358643,5.9094967842,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,11,4.2668,-7.10428,0.6519096494,5.5347218513,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,11,4.2676,-5.251,0.6688864827,5.5758109093,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,3,4.2734,-7.16898,0.9121326804,6.1871600151,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,13,4.2790,25.13866,0.6112836003,5.2065649033,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,13,4.2816,-6.21934,0.6121659875,5.3887953758,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,14,4.2862,14.04364,0.6018174887,4.3575415611,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,1,4.2880,-7.30273,0.9391923547,6.0636367798,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,4,4.2884,-6.63864,0.890450418,6.2759718895,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,1,4.2912,-7.5778,0.9284012318,5.9999251366,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,14,4.2962,-5.58063,0.5455238223,5.4113316536,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,19,4.2973,15.49533,0.4483135939,4.2867722511,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,1,4.2984,-7.40292,0.9208515882,5.9875473976,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,17,4.2995,50.96402,0.4790223837,4.4427037239,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,6,4.3010,-5.71549,0.7661716342,5.7136797905,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,3,4.3015,-6.38628,0.8973568678,6.2613997459,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,4,4.3045,-6.17076,0.8755433559,6.1721534729,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,4,4.3060,-6.54062,0.8302001953,5.9953913689,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,1,4.3065,-7.40521,0.917801857,5.9881477356,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,1,4.3066,-7.52962,0.9208105803,6.011554718,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,7,4.3071,-6.57561,0.826071322,5.8322710991,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,1,4.3116,-7.80539,0.9103627205,5.9820384979,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,15,4.3118,74.49586,0.5747523308,4.9959464073,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,5,4.3135,-7.45589,0.8868068457,6.126144886,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,1,4.3138,-7.52827,0.9171028137,5.9706439972,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,5,4.3179,-6.83543,0.8529905677,5.9531369209,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,18,4.3245,12.99751,0.5099394321,4.6351418495,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,3,4.3266,-6.74582,0.894708097,6.1093597412,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,4,4.3279,-7.70224,0.8359150887,6.0296974182,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,10,4.3322,-6.85682,0.6614302397,5.5174889565,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,2,4.3341,-6.82102,0.9146009684,6.2317752838,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,2,4.3345,-7.02725,0.9235110879,6.2474446297,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,11,4.3345,-6.98295,0.6688970923,5.4967422485,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,16,4.3347,-6.28747,0.5788461566,5.2742810249,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,2,4.3352,-6.40284,0.9151188731,6.3247885704,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,12,4.3371,-6.75563,0.6600622535,5.5106635094,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,2,4.3377,-6.36883,0.9114524722,6.3236923218,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,6,4.3380,-7.50731,0.8495004177,6.069732666,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,2,4.3451,-6.46566,0.9001382589,6.2649497986,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,13,4.3497,-7.28906,0.6451542377,5.3841362,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,8,4.3562,-5.34347,0.7764282227,5.8753228188,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,16,4.3624,4.64084,0.5723158121,4.7419734001,False
